date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2022-04-13,126551,4358,5579,132024221,30783709,12792195,64603528,63153253
2022-04-14,105452,2723,6015,132112470,30799607,12792311,64606251,63159268
2022-04-15,6337,311,624,132117394,30800868,12792311,64606562,63159892
2022-04-16,7139,485,1089,132122832,30802196,12792311,64607047,63160981
2022-04-17,1956,223,285,132124243,30802678,12792311,64607270,63161266
2022-04-18,2800,173,361,132126278,30803349,12792311,64607443,63161627
2022-04-19,75051,4503,4779,132189363,30814177,12792321,64611946,63166406
2022-04-20,92235,2101,4940,132267023,30827629,12792338,64614047,63171346
2022-04-21,104130,2126,5576,132355228,30842570,12792340,64616173,63176922
2022-04-22,85086,2417,6192,132425282,30856441,12792352,64618590,63183114
2022-04-23,20356,1158,2868,132440175,30861122,12792368,64619748,63185982
2022-04-24,6550,376,794,132445226,30862411,12792371,64620124,63186776
2022-04-25,53969,1945,4180,132490943,30869951,12792375,64622069,63190956
2022-04-26,116909,4993,8442,132589422,30886101,12792996,64627062,63199398
2022-04-27,119722,2556,6036,132691984,30902274,12793001,64629618,63205434
2022-04-28,122486,2546,6248,132796727,30919123,12793003,64632164,63211682
2022-04-29,103300,7560,10403,132884511,30932371,12794249,64639724,63222085
2022-04-30,21185,1165,2823,132900835,30936511,12794255,64640889,63224908
2022-05-01,4387,258,346,132904289,30937333,12794255,64641147,63225254
2022-05-02,42922,1375,2639,132940267,30943780,12794277,64642522,63227893
2022-05-03,91625,2952,5984,133019297,30955236,12794650,64645474,63233877
2022-05-04,148100,2563,5830,133145771,30976142,12794655,64648037,63239707
2022-05-05,105635,3084,6029,133237532,30988915,12794951,64651121,63245736
2022-05-06,76693,1960,4091,133304277,30998129,12794958,64653081,63249827
2022-05-07,15336,844,1764,133316529,31000919,12794961,64653925,63251591
2022-05-08,4348,204,452,133320307,31001448,12794961,64654129,63252043
2022-05-09,35768,1034,2108,133350642,31006563,12794961,64655163,63254151
2022-05-10,82638,2371,4369,133422359,31016515,12795336,64657534,63258520
2022-05-11,83397,1791,3450,133495686,31026018,12795337,64659325,63261970
2022-05-12,86218,1890,3745,133571576,31035707,12795337,64661215,63265715
2022-05-13,59621,1456,3301,133623208,31043266,12795340,64662671,63269016
2022-05-14,11667,655,1423,133632574,31045251,12795340,64663326,63270439
2022-05-15,4142,263,523,133635789,31046066,12795340,64663589,63270962
2022-05-16,30984,964,1976,133662466,31050040,12795360,64664553,63272938
2022-05-17,69598,2271,4141,133723361,31057801,12795742,64666824,63277079
2022-05-18,68413,1344,3146,133784382,31064768,12795743,64668168,63280225
2022-05-19,74951,1702,3774,133850521,31073160,12795743,64669870,63283999
2022-05-20,55314,1386,3126,133898239,31080255,12795751,64671256,63287125
2022-05-21,11745,700,1524,133907756,31082082,12795765,64671956,63288649
2022-05-22,3585,171,393,133910788,31082553,12795766,64672127,63289042
2022-05-23,28923,895,1962,133935693,31086242,12795767,64673022,63291004
2022-05-24,63194,2369,4286,133991262,31092925,12796154,64675391,63295290
2022-05-25,61033,1859,3392,134045134,31099604,12796155,64677250,63298682
2022-05-26,2493,181,228,134047107,31100029,12796155,64677431,63298910
2022-05-27,20847,950,1843,134064631,31102976,12796155,64678381,63300753
2022-05-28,7771,647,1008,134070819,31104307,12796155,64679028,63301761
2022-05-29,2618,230,343,134072892,31104743,12796155,64679258,63302104
2022-05-30,25015,883,1798,134094597,31107734,12796155,64680141,63303902
2022-05-31,48769,1511,3004,134137485,31113144,12796160,64681652,63306906
2022-06-01,49776,1306,2610,134181979,31118065,12796166,64682958,63309516
2022-06-02,56767,1466,3317,134232444,31123996,12796172,64684424,63312833
2022-06-03,42858,1529,2772,134270072,31128808,12796178,64685953,63315605
2022-06-04,7755,509,813,134276359,31130076,12796180,64686462,63316418
2022-06-05,1612,57,141,134277769,31130248,12796180,64686519,63316559
2022-06-06,1806,60,142,134279348,31130457,12796180,64686579,63316701
2022-06-07,33494,1157,2265,134308556,31134194,12796384,64687736,63318966
2022-06-08,42545,1225,2248,134345674,31139277,12796384,64688961,63321214
2022-06-09,51891,1530,2975,134391898,31144506,12796384,64690491,63324189
2022-06-10,37776,1317,2548,134424501,31149304,12796387,64691808,63326737
2022-06-11,9634,747,986,134432114,31151080,12796387,64692555,63327723
2022-06-12,2373,208,319,134433972,31151534,12796387,64692763,63328042
2022-06-13,23137,848,1589,134454086,31154285,12796389,64693611,63329631
2022-06-14,45790,1344,2514,134494563,31159205,12796391,64694955,63332145
2022-06-15,48106,1907,2545,134536319,31165167,12796391,64696862,63334690
2022-06-16,27096,997,1861,134558798,31169628,12796391,64697859,63336551
2022-06-17,33571,1104,1957,134585792,31175858,12796391,64698963,63338508
2022-06-18,9815,597,790,134593219,31178047,12796391,64699560,63339298
2022-06-19,4438,338,448,134596537,31178986,12796425,64699898,63339746
2022-06-20,25645,927,1367,134618232,31182689,12796427,64700825,63341113
2022-06-21,49736,1327,2416,134661736,31188513,12796428,64702152,63343529
2022-06-22,54802,1305,2239,134708593,31196008,12796429,64703457,63345768
2022-06-23,64254,1508,2554,134764763,31203777,12796435,64704965,63348322
2022-06-24,48577,1721,2658,134805776,31210902,12796435,64706686,63350980
2022-06-25,12213,717,972,134815240,31213424,12796436,64707403,63351952
2022-06-26,3258,253,367,134817896,31213935,12796436,64707656,63352319
2022-06-27,24471,820,1246,134838804,31217286,12796437,64708476,63353565
2022-06-28,55719,2420,2985,134888290,31222847,12796464,64710896,63356550
2022-06-29,54456,1426,2199,134935903,31229336,12796477,64712322,63358749
2022-06-30,61209,1604,2873,134990502,31235615,12796479,64713926,63361622
2022-07-01,35654,1323,1934,135021029,31240397,12796479,64715249,63363556
2022-07-02,10439,512,893,135029375,31242348,12796497,64715761,63364449
2022-07-03,2696,104,205,135031610,31242767,12796497,64715865,63364654
2022-07-04,21021,619,972,135049660,31245620,12796501,64716484,63365626
2022-07-05,47600,1151,1788,135091952,31250704,12796502,64717635,63367414
2022-07-06,52369,1287,2027,135138014,31256725,12796503,64718922,63369441
2022-07-07,60291,1547,2951,135191221,31263443,12796516,64720469,63372392
2022-07-08,42398,1331,1954,135227583,31269126,12796516,64721800,63374346
2022-07-09,11551,601,775,135236622,31271476,12796516,64722401,63375121
2022-07-10,2693,82,159,135238781,31271952,12796519,64722483,63375280
2022-07-11,25050,970,1595,135259831,31275344,12796527,64723453,63376875
2022-07-12,57171,1464,2224,135309921,31282082,12796527,64724917,63379099
2022-07-13,59744,1181,1957,135361559,31289984,12796530,64726098,63381056
2022-07-14,65461,1156,1903,135418424,31298363,12796532,64727254,63382959
2022-07-15,54434,1377,2139,135462716,31308186,12796533,64728631,63385098
2022-07-16,16345,669,797,135474947,31312093,12796548,64729300,63385895
2022-07-17,3891,158,213,135477982,31312876,12796548,64729458,63386108
2022-07-18,26140,676,933,135499825,31316995,12796572,64730134,63387041
2022-07-19,52154,1019,1586,135545913,31322807,12796572,64731153,63388627
2022-07-20,50734,971,1495,135590544,31328706,12796572,64732124,63390122
2022-07-21,63852,1247,1790,135646296,31336493,12796572,64733371,63391912
2022-07-22,48904,2041,2154,135687661,31343288,12796572,64735412,63394066
2022-07-23,11027,547,678,135696113,31345676,12796572,64735959,63394744
2022-07-24,4243,371,515,135699663,31346276,12796572,64736330,63395259
2022-07-25,22151,570,891,135718942,31349017,12796582,64736900,63396150
2022-07-26,51316,1125,1679,135764479,31354530,12796583,64738025,63397829
2022-07-27,52809,1052,1547,135811149,31360408,12796584,64739077,63399376
2022-07-28,54980,966,1557,135860306,31365979,12796584,64740043,63400933
2022-07-29,41701,1317,1477,135896559,31370947,12796596,64741360,63402410
2022-07-30,9529,472,708,135904019,31372859,12796596,64741832,63403118
2022-07-31,2800,124,146,135906104,31373471,12796597,64741956,63403264
2022-08-01,19354,813,985,135922492,31376160,12796719,64742769,63404249
2022-08-02,38176,767,1180,135956347,31380250,12796719,64743536,63405429
2022-08-03,41517,905,1472,135993313,31384577,12796728,64744441,63406901
2022-08-04,42485,878,1282,136031773,31388372,12796728,64745319,63408183
2022-08-05,32444,936,1279,136059900,31392453,12796729,64746255,63409462
2022-08-06,9203,451,645,136067006,31394374,12796729,64746706,63410107
2022-08-07,2082,102,134,136068769,31394644,12796729,64746808,63410241
2022-08-08,17148,534,708,136083525,31396852,12796731,64747342,63410949
2022-08-09,37936,802,1292,136117342,31400814,12796731,64748144,63412241
2022-08-10,39216,856,1415,136152557,31404643,12796731,64749000,63413656
2022-08-11,40496,879,1416,136188917,31408566,12796731,64749879,63415072
2022-08-12,28722,874,1215,136214169,31411805,12796731,64750753,63416287
2022-08-13,5900,358,496,136218681,31413005,12796736,64751111,63416783
2022-08-14,1955,115,145,136220313,31413215,12796736,64751226,63416928
2022-08-15,13529,484,692,136231826,31415044,12796744,64751710,63417620
2022-08-16,32505,819,1288,136261028,31418125,12796745,64752529,63418908
2022-08-17,35296,1086,1481,136293123,31421062,12796750,64753615,63420389
2022-08-18,42275,3858,3626,136331652,31424414,12796831,64757473,63424015
2022-08-19,29213,945,1406,136356677,31428327,12796832,64758418,63425421
2022-08-20,7090,299,507,136362304,31429652,12796835,64758717,63425928
2022-08-21,2301,97,163,136364106,31430082,12796835,64758814,63426091
2022-08-22,16846,566,789,136378341,31432525,12796838,64759380,63426880
2022-08-23,34825,834,1253,136409397,31436128,12796838,64760214,63428133
2022-08-24,38112,914,1319,136443568,31439810,12796838,64761128,63429452
2022-08-25,37862,759,1227,136477420,31443580,12796839,64761887,63430679
2022-08-26,28838,802,1321,136502441,31447129,12796840,64762689,63432000
2022-08-27,6724,339,466,136507346,31448775,12796840,64763028,63432466
2022-08-28,1814,101,106,136508770,31449127,12796840,64763129,63432572
2022-08-29,16731,544,768,136523271,31451147,12796848,64763673,63433340
2022-08-30,33143,759,1215,136553183,31454181,12796848,64764432,63434555
2022-08-31,36107,916,1339,136585733,31457494,12796848,64765348,63435894
2022-09-01,31924,773,1083,136614956,31459969,12796848,64766121,63436977
2022-09-02,27146,941,1196,136639120,31462742,12796849,64767062,63438173
2022-09-03,5879,359,550,136643972,31463602,12796849,64767421,63438723
2022-09-04,1751,80,100,136645527,31463762,12796849,64767501,63438823
2022-09-05,13502,590,680,136657495,31465150,12796850,64768091,63439503
2022-09-06,27424,821,1155,136682675,31467209,12796850,64768912,63440658
2022-09-07,27963,726,1066,136708241,31469383,12796850,64769638,63441724
2022-09-08,28068,755,1083,136733879,31471578,12796852,64770393,63442807
2022-09-09,18882,733,920,136750751,31473301,12796852,64771126,63443727
